,Sequence week,B.1.526 +E484K count,B.1.526 +E484K  percent,B.1.526 no E484K count,B.1.526 no E484K percent,B.1.1.7 count,B.1.1.7 percent,P.1 count,P.1 percent,B.1.427 count,B.1.427 percent,B.1.429 count,B.1.429 percent,B.1.351 count,B.1.351 percent,B.1.617.2 count,B.1.617.2 percent,B.1.621 count,B.1.621 percent,Other count,Other percent,incomplete,dayofyear,year,VariantEPIData_ID
0,2021-01-02,3,1,32,6,4,1,0,0,1,0,6,1,0,0,0,0,0,0,486,91,,2,2021,2023
1,2021-01-09,8,1,50,6,8,1,0,0,6,1,12,1,0,0,0,0,0,0,787,90,,9,2021,2030
2,2021-01-16,9,2,45,11,13,3,0,0,5,1,12,3,0,0,0,0,0,0,331,80,,16,2021,2037
3,2021-01-23,13,3,55,11,8,2,0,0,1,0,6,1,0,0,0,0,0,0,398,83,,23,2021,2044
4,2021-01-30,61,8,124,16,23,3,0,0,12,2,14,2,1,0,0,0,0,0,540,70,,30,2021,2051
5,2021-02-06,82,8,207,21,75,7,0,0,8,1,17,2,0,0,0,0,0,0,618,61,,37,2021,2058
6,2021-02-13,60,6,300,28,98,9,0,0,12,1,20,2,0,0,0,0,0,0,577,54,,44,2021,2065
7,2021-02-20,164,14,257,22,94,8,0,0,15,1,16,1,2,0,0,0,0,0,616,53,,51,2021,2072
8,2021-02-27,203,18,258,23,140,13,0,0,5,0,20,2,0,0,0,0,0,0,488,44,,58,2021,2079
9,2021-03-06,194,19,318,31,153,15,0,0,10,1,16,2,1,0,0,0,0,0,329,32,,65,2021,2086
10,2021-03-13,278,16,384,22,208,12,4,0,4,0,24,1,0,0,0,0,0,0,875,49,,72,2021,2093
11,2021-03-20,272,23,220,19,294,25,3,0,11,1,18,2,2,0,1,0,0,0,351,30,,79,2021,2100
12,2021-03-27,457,23,412,21,568,29,22,1,4,0,18,1,7,0,3,0,1,0,477,24,,86,2021,2107
13,2021-04-03,384,22,358,21,605,35,21,1,11,1,7,0,3,0,0,0,1,0,349,20,,93,2021,2114
14,2021-04-10,503,23,357,16,761,35,51,2,8,0,8,0,3,0,1,0,3,0,497,23,,100,2021,2121
15,2021-04-17,443,24,295,16,654,35,52,3,5,0,16,1,7,0,2,0,9,0,394,21,,107,2021,2128
16,2021-04-24,265,21,173,14,468,38,40,3,8,1,4,0,3,0,3,0,13,1,270,22,,114,2021,2135
17,2021-05-01,168,17,130,13,393,39,49,5,3,0,2,0,2,0,19,2,5,0,234,23,,121,2021,2142
18,2021-05-08,77,12,58,9,280,44,35,5,2,0,0,0,3,0,25,4,4,1,155,24,,128,2021,2149
19,2021-05-15,61,12,60,12,187,38,24,5,3,1,2,0,0,0,14,3,20,4,122,25,,135,2021,2156
20,2021-05-22,35,10,38,10,123,34,23,6,1,0,1,0,1,0,26,7,16,4,103,28,,142,2021,2163
21,2021-05-29,15,7,13,6,72,33,21,10,0,0,0,0,1,0,16,7,14,6,66,30,,149,2021,2170
22,2021-06-05,6,3,5,3,53,30,22,12,0,0,0,0,0,0,14,8,27,15,52,29,,156,2021,2177
23,2021-06-12,6,3,2,1,28,15,16,9,0,0,0,0,0,0,52,28,34,18,49,26,,163,2021,2184
24,2021-06-19,1,1,1,1,22,16,9,7,0,0,0,0,0,0,49,36,16,12,39,28,,170,2021,2191
25,2021-06-26,1,1,1,1,32,17,13,7,0,0,0,0,0,0,72,39,27,15,40,22,,177,2021,2198
26,2021-07-03,0,0,1,1,19,11,8,5,0,0,0,0,0,0,102,61,14,8,24,14,,184,2021,2205
27,2021-07-10,2,1,3,1,16,5,17,5,0,0,0,0,0,0,231,72,28,9,24,7,,191,2021,2212
28,2021-07-17,0,0,1,0,15,3,12,3,0,0,0,0,0,0,364,84,18,4,23,5,,198,2021,2219
29,2021-07-24,3,0,1,0,6,1,7,1,0,0,0,0,0,0,681,93,17,2,15,2,,205,2021,2226
30,2021-07-31,0,0,0,0,8,1,5,0,0,0,0,0,0,0,1051,97,11,1,13,1,,212,2021,2233
31,2021-08-07,0,0,1,0,4,0,5,0,0,0,0,0,0,0,1454,98,7,0,16,1,,219,2021,2240
32,2021-08-14,0,0,0,0,4,0,2,0,0,0,0,0,0,0,1720,98,6,0,19,1,,226,2021,2247
33,2021-08-21,0,0,0,0,2,0,3,0,0,0,0,0,0,0,1774,98,6,0,26,1,,233,2021,2254
34,2021-08-28,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1580,98,8,0,24,1,,240,2021,2261
35,2021-09-04,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1211,97,4,0,31,2,,247,2021,2268
36,2021-09-11,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1302,97,6,0,27,2,,254,2021,2275
37,2021-09-18,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1613,98,4,0,32,2,,261,2021,2282
38,2021-09-25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1451,98,11,1,20,1,,268,2021,2289
39,2021-10-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1030,99,1,0,14,1,,275,2021,2296
40,2021-10-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,776,98,0,0,16,2,,282,2021,2303
41,2021-10-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,871,98,0,0,16,2,,289,2021,2310
42,2021-10-23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,683,99,0,0,3,0,1820.0,296,2021,2317
43,2021-10-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421,100,1,0,0,0,1820.0,303,2021,2324
